ID,Título,Descripción,Tipo,Prioridad,Precondiciones,Datos de Entrada,Pasos,Resultado Esperado,Código HTTP,Criterios de Éxito,Técnica,Notas
CP-001,Crear guía con datos válidos,Verificar que se puede crear una guía con todos los datos válidos,Positiva,Alta,Token de autenticación válido,"referencia_recaudo: REF-2024-001, valor_recaudo: 50000, remitente completo, destinatario completo","1. Obtener token OAuth
2. Enviar POST a /guias con payload válido
3. Capturar ID de respuesta
4. Verificar respuesta",Sistema acepta y crea la guía correctamente,200/201,"- Response contiene ID único
- Todos los campos se almacenan
- Status code 200 o 201",Flujo Principal,Caso base exitoso
CP-002,Consultar guía creada,Verificar que una guía creada puede ser consultada y retorna los mismos datos,Positiva,Alta,"Token válido, Guía previamente creada con ID conocido",ID de guía: 99021909297,"1. Obtener token OAuth
2. Enviar GET a /guias/{id}
3. Verificar respuesta
4. Comparar datos con los enviados en creación",Sistema retorna la guía con todos los datos correctos,200,"- Status code 200
- Datos coinciden con los enviados
- Incluye estado y fecha_creacion",Flujo Principal,Verificación de persistencia
CP-003,Valor a recaudar = $0,Verificar rechazo de valor cero,Negativa,Alta,Token de autenticación válido,"valor_recaudo: 0, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 0
3. Verificar error",Sistema rechaza con error de validación,400,"- Status code 400
- Mensaje de error claro sobre rango permitido
- No se crea la guía",Valores Límite,Justo debajo del mínimo
CP-004,Valor a recaudar = $1,Verificar aceptación del límite inferior exacto,Positiva,Alta,Token de autenticación válido,"valor_recaudo: 1, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 1
3. Verificar respuesta",Sistema acepta $1 como valor válido,200/201,"- Status code 200/201
- Guía creada exitosamente
- Valor almacenado correctamente",Valores Límite,Límite inferior exacto
CP-005,Valor a recaudar = $16000000,Verificar aceptación del límite superior exacto,Positiva,Alta,Token de autenticación válido,"valor_recaudo: 16000000, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 16000000
3. Verificar respuesta",Sistema acepta $16M como valor válido,200/201,"- Status code 200/201
- Guía creada exitosamente
- Valor almacenado correctamente",Valores Límite,Límite superior exacto
CP-006,Valor a recaudar = $16000001,Verificar rechazo de valor sobre el máximo,Negativa,Alta,Token de autenticación válido,"valor_recaudo: 16000001, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 16000001
3. Verificar error",Sistema rechaza con error de validación,400,"- Status code 400
- Mensaje indica límite máximo excedido
- No se crea la guía",Valores Límite,Justo arriba del máximo
CP-007,Valor a recaudar negativo,Verificar rechazo de valores negativos,Negativa,Media,Token de autenticación válido,"valor_recaudo: -1000, resto de campos válidos","1. Obtener token
2. Enviar POST con valor negativo
3. Verificar error",Sistema rechaza valor negativo,400,"- Status code 400
- Mensaje de error apropiado
- No se crea la guía",Partición de Equivalencia,Clase inválida: negativos
CP-008,Valor a recaudar null,Verificar rechazo cuando falta valor_recaudo,Negativa,Alta,Token de autenticación válido,"valor_recaudo: null o ausente, resto válido","1. Obtener token
2. Enviar POST sin valor_recaudo
3. Verificar error",Sistema rechaza por campo obligatorio faltante,400,"- Status code 400
- Mensaje indica campo obligatorio
- No se crea la guía",Campos Obligatorios,Campo crítico ausente
CP-009,Referencia de recaudo vacía,Verificar rechazo de referencia vacía,Negativa,Alta,Token de autenticación válido,"referencia_recaudo: """", resto válido","1. Obtener token
2. Enviar POST con referencia vacía
3. Verificar error",Sistema rechaza referencia vacía,400,"- Status code 400
- Mensaje específico sobre referencia
- No se crea la guía",Campos Obligatorios,String vacío
CP-010,Referencia excede límite,Verificar rechazo cuando referencia es muy larga,Negativa,Alta,Token de autenticación válido,"referencia_recaudo: string de 500+ caracteres, resto válido","1. Obtener token
2. Enviar POST con referencia muy larga
3. Verificar error",Sistema rechaza por exceder límite de caracteres,400,"- Status code 400
- Mensaje indica límite excedido
- No se crea la guía",Valores Límite,Longitud excesiva
CP-011,Referencia con caracteres especiales,Verificar soporte de caracteres especiales en referencia,Exploratoria,Media,Token de autenticación válido,"referencia_recaudo: REF-@#$%-2024, resto válido","1. Obtener token
2. Enviar POST con caracteres especiales
3. Documentar comportamiento",Documentar si acepta o rechaza estos caracteres,200/400,"- Comportamiento consistente
- Mensaje claro si rechaza
- Caracteres preservados si acepta",Caracteres Especiales,Validar encoding
CP-012,Sin datos de remitente,Verificar rechazo cuando falta objeto remitente completo,Negativa,Alta,Token de autenticación válido,Payload sin campo remitente,"1. Obtener token
2. Enviar POST sin remitente
3. Verificar error",Sistema rechaza por falta de remitente,400,"- Status code 400
- Mensaje indica remitente obligatorio
- No se crea la guía",Campos Obligatorios,Objeto completo ausente
CP-013,Remitente incompleto,Verificar rechazo cuando faltan campos del remitente,Negativa,Alta,Token de autenticación válido,"remitente: {nombre: ""Juan""} sin dirección, ciudad, teléfono","1. Obtener token
2. Enviar POST con remitente incompleto
3. Verificar error",Sistema rechaza por campos faltantes,400,"- Status code 400
- Mensaje especifica qué campos faltan
- No se crea la guía",Campos Obligatorios,Validación de objeto anidado
CP-014,Sin datos de destinatario,Verificar rechazo cuando falta objeto destinatario completo,Negativa,Alta,Token de autenticación válido,Payload sin campo destinatario,"1. Obtener token
2. Enviar POST sin destinatario
3. Verificar error",Sistema rechaza por falta de destinatario,400,"- Status code 400
- Mensaje indica destinatario obligatorio
- No se crea la guía",Campos Obligatorios,Objeto completo ausente
CP-015,Destinatario incompleto,Verificar rechazo cuando faltan campos del destinatario,Negativa,Alta,Token de autenticación válido,"destinatario: {nombre: ""María""} sin dirección, ciudad, teléfono","1. Obtener token
2. Enviar POST con destinatario incompleto
3. Verificar error",Sistema rechaza por campos faltantes,400,"- Status code 400
- Mensaje especifica qué campos faltan
- No se crea la guía",Campos Obligatorios,Validación de objeto anidado
CP-016,Nombre con Ñ y tildes,Verificar soporte de caracteres especiales latinos en nombres,Positiva,Media,Token de autenticación válido,"nombres: ""José María Nuñez"", ""María Ángeles"", resto válido","1. Obtener token
2. Enviar POST con nombres con Ñ y tildes
3. Verificar creación
4. Consultar guía
5. Verificar caracteres preservados",Sistema acepta y preserva correctamente los caracteres,200/201,"- Guía creada exitosamente
- GET retorna nombres idénticos
- Encoding UTF-8 correcto",Caracteres Especiales,Soporte de español
CP-017,Nombre con apóstrofe,Verificar soporte de apóstrofes en nombres,Positiva,Media,Token de autenticación válido,"nombre: ""O'Connor"", resto válido","1. Obtener token
2. Enviar POST con apóstrofe
3. Verificar creación",Sistema acepta apóstrofes,200/201,"- Guía creada exitosamente
- Apóstrofe preservado",Caracteres Especiales,Nombres compuestos
CP-018,Sin campos opcionales,Verificar que campos opcionales pueden omitirse,Positiva,Media,Token de autenticación válido,Solo campos obligatorios sin observaciones/descripción/peso,"1. Obtener token
2. Enviar POST solo con obligatorios
3. Verificar creación",Sistema acepta payload mínimo,200/201,"- Status code 200/201
- Guía creada sin campos opcionales
- GET retorna null/undefined en opcionales",Campos Opcionales,Payload mínimo válido
CP-019,Con todos los campos opcionales,Verificar que campos opcionales se almacenan correctamente,Positiva,Baja,Token de autenticación válido,Payload completo con observaciones descripción peso dimensiones,"1. Obtener token
2. Enviar POST con todos los campos
3. Consultar guía
4. Verificar todos los campos",Todos los campos se almacenan y retornan,200/201,"- Guía creada exitosamente
- GET retorna todos los campos opcionales
- Valores idénticos a los enviados",Campos Opcionales,Payload completo
CP-020,Token inválido POST,Verificar que POST rechaza token inválido,Negativa,Alta,Token inválido o expirado,Payload válido con token inválido,"1. Usar token expirado/inválido
2. Enviar POST
3. Verificar error de autenticación",Sistema rechaza por autenticación fallida,401,"- Status code 401
- Mensaje de error de autenticación
- No se crea la guía",Seguridad,Validación de autenticación
CP-021,Token inválido GET,Verificar que GET rechaza token inválido,Negativa,Alta,Token inválido o expirado,ID de guía válido con token inválido,"1. Usar token expirado/inválido
2. Enviar GET
3. Verificar error de autenticación",Sistema rechaza por autenticación fallida,401,"- Status code 401
- Mensaje de error de autenticación
- No retorna datos",Seguridad,Validación de autenticación
CP-022,GET guía inexistente,Verificar que GET retorna 404 para ID inexistente,Negativa,Media,Token válido,ID de guía que no existe: 99999999999,"1. Obtener token
2. Enviar GET con ID inexistente
3. Verificar error 404",Sistema retorna 404 Not Found,404,"- Status code 404
- Mensaje indica guía no encontrada
- Respuesta clara",Manejo de Errores,Recurso no existe
CP-023,Valor en rango medio,Verificar que valores en rango medio son aceptados,Positiva,Baja,Token de autenticación válido,"valor_recaudo: 8000000, resto válido","1. Obtener token
2. Enviar POST con valor medio
3. Verificar creación",Sistema acepta valor en rango medio,200/201,"- Guía creada exitosamente
- Valor almacenado correctamente",Partición de Equivalencia,Clase válida: rango medio
CP-024,Múltiples campos inválidos,Verificar manejo de múltiples errores simultáneos,Negativa,Media,Token de autenticación válido,"valor_recaudo: 0, referencia vacía, sin remitente","1. Obtener token
2. Enviar POST con múltiples errores
3. Verificar respuesta de error",Sistema retorna errores de validación,400,"- Status code 400
- Mensaje lista múltiples errores O primer error encontrado
- No se crea la guía",Manejo de Errores,Validación múltiple
CP-025,Integración POST + GET,Verificar flujo completo de creación y consulta,Integración,Alta,Token de autenticación válido,Payload válido completo,"1. Obtener token
2. POST para crear guía
3. Capturar ID retornado
4. GET usando el ID
5. Comparar datos POST vs GET",Datos en GET coinciden exactamente con POST,200,"- POST exitoso (201)
- GET exitoso (200)
- Todos los campos coinciden
- IDs coherentes",Integración,Flujo end-to-end
CP-026,Referencia duplicada,Verificar comportamiento con referencia_recaudo duplicada,Exploratoria,Baja,Token válido y guía previa con REF-001,referencia_recaudo: REF-001 (ya existe),"1. Crear primera guía con REF-001
2. Intentar crear segunda con misma referencia
3. Documentar comportamiento","Documentar si permite o rechaza duplicados (depende de lógica de negocio)",200/400,"- Comportamiento consistente
- Si permite: ambas guías creadas
- Si rechaza: error claro",Reglas de Negocio,Unicidad de referencia
CP-027,Números en nombre,Verificar si se aceptan números en nombres,Exploratoria,Baja,Token de autenticación válido,"nombre: ""Juan123"", resto válido","1. Obtener token
2. Enviar POST con números en nombre
3. Documentar si acepta o rechaza",Documentar política de caracteres en nombres,200/400,"- Comportamiento documentado
- Mensaje claro si rechaza",Validación de Datos,Formato de nombres
CP-028,Email inválido,Verificar validación de formato de email,Negativa,Baja,Token de autenticación válido,"email: ""correo-invalido"", resto válido","1. Obtener token
2. Enviar POST con email inválido
3. Verificar si valida formato",Sistema valida formato de email O lo acepta como texto libre,200/400,"- Comportamiento consistente
- Si valida: error claro
- Si no valida: acepta cualquier string",Validación de Datos,Formato de email
CP-029,Teléfono no numérico,Verificar validación de formato de teléfono,Negativa,Media,Token de autenticación válido,"telefono: ""ABC123"", resto válido","1. Obtener token
2. Enviar POST con teléfono no numérico
3. Verificar validación",Sistema rechaza o acepta dependiendo de validación,200/400,"- Comportamiento documentado
- Si rechaza: mensaje sobre formato numérico",Validación de Datos,Formato de teléfono
CP-030,Payload vacío,Verificar respuesta a payload completamente vacío,Negativa,Media,Token de autenticación válido,"{} (objeto vacío)","1. Obtener token
2. Enviar POST con payload {}
3. Verificar error",Sistema rechaza con error de validación,400,"- Status code 400
- Mensaje indica campos requeridos faltantes",Manejo de Errores,Payload inválido

